index,id,nome,lat,lng,estado,regiao
5232,303160,Seritinga,-21.913846154285,-44.518344886470004,MG,Região Sudeste
5233,304985,Seropédica,-22.753067896026,-43.715858490846,RJ,Região Sudeste
5234,302510,Serra,-20.1215133636335,-40.307753331058706,ES,Região Sudeste
5235,305534,Serra Alta,-26.7233665398802,-53.0413217276193,SC,Região Sul
5236,303659,Serra Azul,-21.3078510145621,-47.5606419221203,SP,Região Sudeste
5237,302715,Serra Azul de Minas,-18.3606226176385,-43.16782206934071,MG,Região Sudeste
5238,300596,Serra Branca,-7.48076471430786,-36.666304105201704,PB,Região Nordeste
5239,300510,Serra Caiada,-6.10589690428563,-35.7123787444332,,
5240,300437,Serra da Raiz,-6.685690478527619,-35.4381595420556,PB,Região Nordeste
5241,303013,Serra da Saudade,-19.4380927667967,-45.7999510875673,MG,Região Sudeste
5242,300563,Serra de São Bento,-6.41778199905048,-35.7048990779817,RN,Região Nordeste
5243,300533,Serra do Mel,-5.17164810949882,-37.040009706606796,RN,Região Nordeste
5244,305875,Serra do Navio,0.9009911899906831,-52.0040340323985,AP,Região Norte
5245,302110,Serra do Ramalho,-13.542097991757,-43.5772714483055,BA,Região Nordeste
5246,303315,Serra do Salitre,-19.1098862795207,-46.6821792189815,MG,Região Sudeste
5247,303592,Serra dos Aimorés,-17.7876434846258,-40.245592110017,,
5248,302109,Serra Dourada,-12.7594464568751,-43.950791682713394,BA,Região Nordeste
5249,300802,Serra Grande,-7.21472818504171,-38.3720680028489,PB,Região Nordeste
5250,303643,Serra Negra,-22.614417227156302,-46.703667838113205,SP,Região Sudeste
5251,300607,Serra Negra do Norte,-6.66579141003744,-37.3987335801289,RN,Região Nordeste
5252,300369,Serra Nova Dourada,-12.090055538656301,-51.4029466471681,MT,Região Centro-Oeste
5253,301425,Serra Preta,-12.1597575924082,-39.331990091502,BA,Região Nordeste
5254,300580,Serra Redonda,-7.18670173779984,-35.6799367728311,PB,Região Nordeste
5255,300857,Serra Talhada,-7.98220060413463,-38.2893472393924,PE,Região Nordeste
5256,303658,Serrana,-21.204805599917897,-47.5956378752956,SP,Região Sudeste
5257,304419,Serrania,-21.5446193639215,-46.042090396594105,MG,Região Sudeste
5258,301669,Serrano do Maranhão,-1.85266721231719,-45.1210916763815,MA,Região Nordeste
5259,304349,Serranópolis,-18.3071723928403,-51.9590557947517,GO,Região Centro-Oeste
5260,302178,Serranópolis de Minas,-15.811457012985802,-42.8717329644823,MG,Região Sudeste
5261,305337,Serranópolis do Iguaçu,-25.380377836051,-54.05227468735,PR,Região Sul
5262,303158,Serranos,-21.886209071779,-44.51286677499001,MG,Região Sudeste
5263,300445,Serraria,-6.815590760001019,-35.62813634109229,PB,Região Nordeste
5264,301406,Serrinha,-11.6588499304793,-39.0102979255015,RN,Região Nordeste
5265,302330,Serrinha,-6.27807296313565,-35.4971738095586,RN,Região Nordeste
5266,300760,Serrinha dos Pintos,-6.11128436443852,-37.9551085901156,,
5267,300864,Serrita,-7.94082759006798,-39.2953823825615,PE,Região Nordeste
5268,302718,Serro,-18.599572191394202,-43.3747630150243,MG,Região Sudeste
5269,301448,Serrolândia,-11.4165926753598,-40.3010314092533,BA,Região Nordeste
5270,304504,Sertaneja,-23.0385953757673,-50.8173038021092,PR,Região Sul
5271,302341,Sertânia,-8.06889089448099,-37.268698926005996,PE,Região Nordeste
5272,304685,Sertanópolis,-23.0575232800669,-51.0403743652768,PR,Região Sul
5273,305168,Sertão,-27.9802553396942,-52.259231947319,RS,Região Sul
5274,305518,Sertão Santana,-30.4566625793215,-51.60215265987579,RS,Região Sul
5275,300438,Sertãozinho,-6.751689902248371,-35.437450576093504,PB,Região Nordeste
5276,303672,Sertãozinho,-21.1320644386827,-47.987897252999,PB,Região Nordeste
5277,303794,Sete Barras,-24.382526227504002,-47.9283534650095,SP,Região Sudeste
5278,305452,Sete de Setembro,-28.1309836606099,-54.4629381847574,RS,Região Sul
5279,304400,Sete Lagoas,-19.457372834966897,-44.2416269148783,MG,Região Sudeste
5280,305237,Sete Quedas,-23.970965080082802,-55.040293367747296,MS,Região Centro-Oeste
5281,302655,Setubinha,-17.6006692922902,-42.159022458319704,MG,Região Sudeste
5282,305666,Severiano de Almeida,-27.436674804398603,-52.1221528481118,RS,Região Sul
5283,300750,Severiano Melo,-5.7770682631884895,-37.9572894190591,RN,Região Nordeste
5284,303699,Severínia,-20.8112184843876,-48.80578568985371,SP,Região Sudeste
5285,304971,Siderópolis,-28.595984679827104,-49.431859008935696,SC,Região Sul
5286,305597,Sidrolândia,-20.9306625141734,-54.9696621913966,MS,Região Centro-Oeste
5287,300893,Sigefredo Pacheco,-4.91704896946362,-41.7314583548711,PI,Região Nordeste
5288,314420,Sihuas,-8.56486675187579,-77.630108807546,,
5289,303069,Silva Jardim,-22.6578756306308,-42.39648574665679,RJ,Região Sudeste
5290,302395,Silvânia,-16.6604235678244,-48.608720659749096,GO,Região Centro-Oeste
5291,302221,Silvanópolis,-11.147528368431699,-48.1697527139053,TO,Região Norte
5292,305702,Silveira Martins,-29.641981202664102,-53.5859386309622,RS,Região Sul
5293,303087,Silveirânia,-21.1619594064267,-43.213211770391105,MG,Região Sudeste
5294,303615,Silveiras,-22.664320896104396,-44.852541259688394,SP,Região Sudeste
5295,304178,Silves,-2.81786351987939,-58.2484621958099,AM,Região Norte
5296,303467,Silvianópolis,-22.0278864445336,-45.83890631773371,MG,Região Sudeste
5297,301484,Simão Dias,-10.739091099668801,-37.810058238016204,SE,Região Nordeste
5298,303113,Simão Pereira,-21.9644420949863,-43.3091654894054,MG,Região Sudeste
5299,301029,Simões,-7.59496770204839,-40.8181790336007,PI,Região Nordeste
5300,301513,Simões Filho,-12.787036709779198,-38.403262891467705,BA,Região Nordeste
5301,302867,Simolândia,-14.461442142624199,-46.4861557177054,GO,Região Centro-Oeste
5302,303564,Simonésia,-20.1345750226522,-42.0094097360364,MG,Região Sudeste
5303,301072,Simplício Mendes,-7.85953967771775,-41.90863449684029,PI,Região Nordeste
5304,305551,Sinimbu,-29.5389808589539,-52.5219403458915,RS,Região Sul
5305,304561,Sinop,-11.8608520656654,-55.5094879801898,MT,Região Centro-Oeste
5306,303963,Siqueira Campos,-23.6879522010114,-49.8308367123106,PR,Região Sul
5307,301078,Sirinhaém,-8.58821069963478,-35.112880404767196,PE,Região Nordeste
5308,301237,Siriri,-10.604490932623401,-37.1134580773403,SE,Região Nordeste
5309,302303,Sítio d'Abadia,-14.804855515247299,-46.2538094683357,,
5310,302106,Sítio do Mato,-13.0831402707094,-43.468968545714,BA,Região Nordeste
5311,301288,Sítio do Quinto,-10.3685043512921,-38.2045829741953,BA,Região Nordeste
5312,301956,Sítio Novo,-5.8764105737295695,-46.7036974324714,MA,Região Nordeste
5313,300511,Sítio Novo,-6.103970407518919,-35.911046548040794,MA,Região Nordeste
5314,301972,Sítio Novo do Tocantins,-5.60160749540795,-47.638464070096205,TO,Região Norte
5315,314458,Sn. Ignácio de Moxo,-14.927485277350302,-65.6148147016166,,
5316,301432,Sobradinho,-9.46867573374274,-40.794519021159104,BA,Região Nordeste
5317,305561,Sobradinho,-29.4199120488777,-53.0330880992436,BA,Região Nordeste
5318,300452,Sobrado,-7.144707538419981,-35.2360303200769,PB,Região Nordeste
5319,301327,Sobral,-3.68952797403578,-40.3485353349749,CE,Região Nordeste
5320,302729,Sobrália,-19.234992529585103,-42.0979665222456,MG,Região Sudeste
5321,303553,Socorro,-22.590740592726302,-46.525513564337594,SP,Região Sudeste
5322,301835,Socorro do Piauí,-7.864609114846901,-42.502729827102996,PI,Região Nordeste
5323,300443,Solânea,-6.76054658350577,-35.658697736015796,PB,Região Nordeste
5324,300650,Soledade,-7.05909972328962,-36.3629005552985,PB,Região Nordeste
5325,305386,Soledade,-28.831086924626604,-52.51354019077561,PB,Região Nordeste
5326,303606,Soledade de Minas,-22.0559104079251,-45.0468009427119,MG,Região Sudeste
5327,300786,Solidão,-7.60104137940856,-37.648782497379706,PE,Região Nordeste
5328,300917,Solonópole,-5.7193443241583,-39.0110368992344,CE,Região Nordeste
5329,304120,Sombrio,-29.1084690100473,-49.63321551483979,SC,Região Sul
5330,305026,Sonora,-17.5787385683892,-54.753833762815,MS,Região Centro-Oeste
5331,302885,Sooretama,-19.1901728655071,-40.0976928036433,ES,Região Sudeste
5332,303762,Sorocaba,-23.4973630091023,-47.4454774479549,SP,Região Sudeste
5333,304564,Sorriso,-12.542951140058598,-55.7214791951513,MT,Região Centro-Oeste
5334,300641,Sossêgo,-6.76625848584852,-36.247407612200796,PB,Região Nordeste
5335,301925,Soure,-0.723737483709912,-48.515582371055295,PA,Região Norte
5336,300940,Sousa,-6.75927193199787,-38.2279576011351,PB,Região Nordeste
5337,301508,Souto Soares,-12.088488109164901,-41.6430580429391,BA,Região Nordeste
5338,302292,Sucupira,-11.985502598570301,-48.965556642154105,TO,Região Norte
5339,301863,Sucupira do Norte,-6.478801583466611,-44.1922417216565,MA,Região Nordeste
5340,301841,Sucupira do Riachão,-6.4162424022471605,-43.5451298385305,MA,Região Nordeste
