id_cidade,nome,nomeabrev,LATITUDE,LONGITUDE
300488,Salgado de São Félix,Salgado de São Félix,-7.35759089843478,-35.4363393641474
305269,Salgado Filho,Salgado Filho,-26.1781305003012,-53.3635675714316
300863,Salgueiro,Salgueiro,-8.07415650861931,-39.1250092782313
302145,Salinas,Salinas,-16.1691239739514,-42.2959503778931
301521,Salinas da Margarida,Salinas da Margarida,-12.8734637385953,-38.7564855666423
301893,Salinópolis,Salinópolis,-0.631374895094991,-47.3475827757187
301019,Salitre,Salitre,-7.28422190949394,-40.4589590463238
304479,Salmourão,Salmourão,-21.6239913880322,-50.8609466046227
301138,Saloá,Saloá,-8.97273080611874,-36.6913334174455
303914,Saltinho,Saltinho,-22.8446414941529,-47.6757750270458
305532,Saltinho,Saltinho,-26.6054002668424,-53.0582143671132
303759,Salto,Salto,-23.200068526214,-47.2934895287916
314312,Salto,Salto,-31.3809289130145,-57.9632403887936
301611,Salto da Divisa,Salto da Divisa,-16.0067908036966,-39.939422724046
303770,Salto de Pirapora,Salto de Pirapora,-23.6478641079033,-47.5747277767073
314287,Salto del Guaíra,Salto del Guaíra,-24.053309399949,-54.3098004228895
304624,Salto do Céu,Salto do Céu,-15.1307739835709,-58.1321664586865
304210,Salto do Itararé,Salto do Itararé,-23.607827517,-49.6358032019775
305403,Salto do Jacuí,Salto do Jacuí,-29.0955369415367,-53.2137887743846
305265,Salto do Lontra,Salto do Lontra,-25.7817228920813,-53.3139777592
303900,Salto Grande,Salto Grande,-22.8898576524053,-49.9835531850464
305098,Salto Veloso,Salto Veloso,-26.9034650546525,-51.4047791753113
295770,Salvador,Salvador,-12.972681151286,-38.501707683196
305796,Salvador das Missões,Salvador das Missões,-28.1238019287098,-54.837786427722
305507,Salvador do Sul,Salvador do Sul,-29.4419135686702,-51.5114775427459
301926,Salvaterra,Salvaterra,-0.758819227066609,-48.5142986604983
301875,Sambaíba,Sambaíba,-7.14089124440282,-45.3465063685208
301978,Sampaio,Sampaio,-5.35463403092955,-47.8785593932371
314453,San Andres,San Andres,-15.0346397072446,-64.5512886379932
314433,San Carlos de Rio Negro,San Carlos de Rio Negro,1.85836584953185,-67.0495462480661
314370,San Cosme y Damian,San Cosme y Damian,-27.3308663750379,-56.4306323204801
314268,San Estanislao,San Estanislao,-24.6674391662713,-56.4388627885248
314434,San Felipe,San Felipe,1.84616179591916,-67.0824753643499
314382,San Ignacio,San Ignacio,-26.9289920576972,-56.9511985678721
314355,San Javier,San Javier,-30.58227474803,-59.9259620289828
314452,San Javier,San Javier,-14.6512693788083,-64.8236319176218
314450,San Joaquim,San Joaquim,-13.0396082653283,-64.6698880330937
314266,San Joaquín,San Joaquín,-24.9922960606763,-56.011416597023
314523,San José,San José,-25.541349750949,-56.7188926637199
314517,San José,San José,-27.7579581869259,-55.7798864004755
314347,San José de Feliciano,San José de Feliciano,-30.3818451791479,-58.7500425965434
314280,San José del Rosario,San José del Rosario,-24.2531940470365,-56.8922967802598
314372,San Juan Bautista,San Juan Bautista,-26.6980393250745,-57.0736272894914
314392,San Juan Neembucu,San Juan Neembucu,-26.6969336539393,-57.8674536693545
314331,San Juan Nepomuceno,San Juan Nepomuceno,-26.0866482004809,-55.9190352875043
314494,San Lorenzo,San Lorenzo,-25.3587360288112,-57.4792941502754
314391,San Luis,San Luis,-9.09541160721765,-77.3431859209423
314364,San Luis Al Medio,San Luis Al Medio,-33.6106182574032,-53.7220227577434
314292,San Luis del Palmar,San Luis del Palmar,-27.5138902798814,-58.5550559146426
314515,San Miguel,San Miguel,-26.5630824924513,-56.9662231319387
314378,San Patricio,San Patricio,-27.0232658411226,-56.7576058745325
314275,San Pedro,San Pedro,-24.0903032389953,-57.0634851282833
314451,San Ranon,San Ranon,-13.2606588529256,-64.6167502385067
314297,San Roque,San Roque,-28.577713824662,-58.711420580952
305661,Sananduva,Sananduva,-27.9475027568843,-51.8083979440982
302615,Sanclerlândia,Sanclerlândia,-16.211498489826,-50.3036619523146
302861,Sandolândia,Sandolândia,-12.5398834485075,-49.9259521492632
304692,Sandovalina,Sandovalina,-22.455978902801,-51.7629600015597
304077,Sangão,Sangão,-28.633122713635,-49.132615135811
300605,Sanharó,Sanharó,-8.36180640248477,-36.5632019047437
303824,Santa Adélia,Santa Adélia,-21.2431288302826,-48.8067468664344
304368,Santa Albertina,Santa Albertina,-20.0315895291819,-50.7301287143727
304718,Santa Amélia,Santa Amélia,-23.2658894716221,-50.4291881836643
314457,Santa Ana,Santa Ana,-13.7385523331188,-65.4294274523126
314466,Santa Ana,Santa Ana,-27.3653273044944,-55.5782845503804
301408,Santa Bárbara,Santa Bárbara,-11.9527160372792,-38.9747568361314
302833,Santa Bárbara,Santa Bárbara,-19.9608324749279,-43.4105122857715
302610,Santa Bárbara de Goiás,Santa Bárbara de Goiás,-16.5788760597481,-49.7015118067442
303565,Santa Bárbara do Leste,Santa Bárbara do Leste,-19.9779914645552,-42.1399634039241
303128,Santa Bárbara do Monte Verde,Santa Bárbara do Monte Verde,-21.959660183694,-43.7031012746724
301929,Santa Bárbara do Pará,Santa Bárbara do Pará,-1.22652195940119,-48.2954773893668
305400,Santa Bárbara do Sul,Santa Bárbara do Sul,-28.3658006835397,-53.2515008056615
303120,Santa Bárbara do Tugúrio,Santa Bárbara do Tugúrio,-21.2435969427018,-43.561117436431
304585,Santa Barbara d'Oeste,Santa Barbara d'Oeste,-22.7557308869761,-47.4147100254438
303295,Santa Branca,Santa Branca,-23.3937916803514,-45.8879145375148
301285,Santa Brígida,Santa Brígida,-9.73503988335089,-38.1288296772028
304560,Santa Carmem,Santa Carmem,-11.9777469957406,-55.2773529740946
301317,Santa Cecília,Santa Cecília,-7.7430384790542,-35.8793784423939
305615,Santa Cecília,Santa Cecília,-26.9596592166727,-50.4256060755928
304730,Santa Cecília do Pavão,Santa Cecília do Pavão,-23.5169886431712,-50.7839459867725
300389,Santa Cecília do Sul,Santa Cecília do Sul,-28.1613359369101,-51.9283849507342
305790,Santa Clara do Sul,Santa Clara do Sul,-29.4689807622252,-52.0879410664811
304384,Santa Clara d'Oeste,Santa Clara d'Oeste,-20.0919626909307,-50.9278656631092
300516,Santa Cruz,Santa Cruz,-6.22516518618205,-36.0195925753358
300934,Santa Cruz,Santa Cruz,-6.53285252508657,-38.058193211168
301026,Santa Cruz,Santa Cruz,-8.24098496025841,-40.3375814240692
301765,Santa Cruz Cabrália,Santa Cruz Cabrália,-16.2820813002599,-39.0227646868672
300825,Santa Cruz da Baixa Verde,Santa Cruz da Baixa Verde,-7.82109448275027,-38.1522494911947
303689,Santa Cruz da Conceição,Santa Cruz da Conceição,-22.141014911285,-47.4515965027337
303655,Santa Cruz da Esperança,Santa Cruz da Esperança,-21.2955352823451,-47.4307790315674
301758,Santa Cruz da Vitória,Santa Cruz da Vitória,-14.9644339741572,-39.8118351327923
303662,Santa Cruz das Palmeiras,Santa Cruz das Palmeiras,-21.8239474099827,-47.2484212644595
304574,Santa Cruz de Goiás,Santa Cruz de Goiás,-17.3159662503787,-48.4813452283306
304991,Santa Cruz de Minas,Santa Cruz de Minas,-21.1246250558325,-44.2206267676746
305750,Santa Cruz de Monte Castelo,Santa Cruz de Monte Castelo,-22.9578629791677,-53.2945675432048
302260,Santa Cruz de Salinas,Santa Cruz de Salinas,-16.0976450449692,-41.7486419851719
301928,Santa Cruz do Arari,Santa Cruz do Arari,-0.661393610086461,-49.1775206316394
300600,Santa Cruz do Capibaribe,Santa Cruz do Capibaribe,-7.94844293378867,-36.2063900543548
302742,Santa Cruz do Escalvado,Santa Cruz do Escalvado,-20.2377147677097,-42.8172497409614
301054,Santa Cruz do Piauí,Santa Cruz do Piauí,-7.17891429335804,-41.761268954696
304425,Santa Cruz do Rio Pardo,Santa Cruz do Rio Pardo,-22.8992195926067,-49.6358609930017
305554,Santa Cruz do Sul,Santa Cruz do Sul,-29.722496578049,-52.4347786710009
300372,Santa Cruz do Xingu,Santa Cruz do Xingu,-10.1535806753227,-52.3957543817666
301785,Santa Cruz dos Milagres,Santa Cruz dos Milagres,-5.80621516222056,-41.9509813325
302683,Santa Efigênia de Minas,Santa Efigênia de Minas,-18.8239359049571,-42.4391899219669
303803,Santa Ernestina,Santa Ernestina,-21.4629908567415,-48.3909503994164
304703,Santa Fé,Santa Fé,-23.0404571542698,-51.8084450624545
304982,Santa Fé de Goiás,Santa Fé de Goiás,-15.7668695680528,-51.1041141303125
302586,Santa Fé de Minas,Santa Fé de Minas,-16.6936933781783,-45.4148030353654
302027,Santa Fé do Araguaia,Santa Fé do Araguaia,-7.15433248360714,-48.692098352503
304388,Santa Fé do Sul,Santa Fé do Sul,-20.2087105873239,-50.9323754248063
302074,Santa Filomena,Santa Filomena,-9.11751748389327,-45.9182090025208
301030,Santa Filomena,Santa Filomena,-8.16045233547395,-40.6119186287834
302448,Santa Filomena do Maranhão,Santa Filomena do Maranhão,-5.49807565275219,-44.5590729978598
304580,Santa Gertrudes,Santa Gertrudes,-22.4577026989676,-47.5275619120233
301712,Santa Helena,Santa Helena,-2.23397263275837,-45.3010737682397
300999,Santa Helena,Santa Helena,-6.71801470181172,-38.6430148814419
305024,Santa Helena,Santa Helena,-24.8589549526382,-54.3364624469095
305353,Santa Helena,Santa Helena,-26.9374330637793,-53.6218951324662
304337,Santa Helena de Goiás,Santa Helena de Goiás,-17.8119716955652,-50.5980734599476
303595,Santa Helena de Minas,Santa Helena de Minas,-16.9372995840151,-40.6842363760445
301735,Santa Inês,Santa Inês,-13.2953825783594,-39.8214695528983
300855,Santa Inês,Santa Inês,-7.62679201483358,-38.5593457154346
303581,Santa Inês,Santa Inês,-3.65151081062311,-45.3778088585283
304699,Santa Inês,Santa Inês,-22.6407474670409,-51.9029434592562
303928,Santa Isabel,Santa Isabel,-23.3176735989126,-46.2240636233046
304880,Santa Isabel,Santa Isabel,-15.297822349617,-49.4250151367269
304856,Santa Isabel do Ivaí,Santa Isabel do Ivaí,-22.9992396950856,-53.1975797297867
301915,Santa Isabel do Pará,Santa Isabel do Pará,-1.29822539380913,-48.1569975588172
304250,Santa Isabel do Rio Negro,Santa Isabel do Rio Negro,-0.411196325231714,-65.0096653170988
305329,Santa Izabel do Oeste,Santa Izabel do Oeste,-25.8221174545464,-53.4805969206839
303695,Santa Juliana,Santa Juliana,-19.3109885246627,-47.5294424610094
302514,Santa Leopoldina,Santa Leopoldina,-20.1003948461971,-40.5273448988405
303681,Santa Lúcia,Santa Lúcia,-21.6849904382976,-48.0839508003064
305324,Santa Lúcia,Santa Lúcia,-25.410819392934,-53.5642458831732
302285,Santa Luz,Santa Luz,-8.9492180613123,-44.1299213629713
301761,Santa Luzia,Santa Luzia,-15.4346499816895,-39.3290073697738
301768,Santa Luzia,Santa Luzia,-4.06912108725957,-45.6903870305986
300768,Santa Luzia,Santa Luzia,-6.86973742683323,-36.918841866876
302825,Santa Luzia,Santa Luzia,-19.7552967796218,-43.8500278831723
301261,Santa Luzia do Itanhy,Santa Luzia do Itanhy,-11.3511531103571,-37.4611534827267
301145,Santa Luzia do Norte,Santa Luzia do Norte,-9.60413432425671,-35.8234925356304
301888,Santa Luzia do Pará,Santa Luzia do Pará,-1.52184990145046,-46.9011968690743
301717,Santa Luzia do Paruá,Santa Luzia do Paruá,-2.54422923225591,-45.7750840426358
304289,Santa Luzia D'Oeste,Santa Luzia D'Oeste,-11.9077744113458,-61.7781416833987
302908,Santa Margarida,Santa Margarida,-20.3843335035876,-42.2522740523548
300406,Santa Margarida do Sul,Santa Margarida do Sul,-30.3397536735557,-54.0821930721963
300505,Santa Maria,Santa Maria,-5.83843286326394,-35.6917019484729
305705,Santa Maria,Santa Maria,-29.6872876810398,-53.8154152248365
314374,Santa Maria,Santa Maria,-26.8142021794607,-56.8673026172332
301298,Santa Maria da Boa Vista,Santa Maria da Boa Vista,-8.7980811456793,-39.8243808251831
303924,Santa Maria da Serra,Santa Maria da Serra,-22.5665604406515,-48.159694410151
302160,Santa Maria da Vitória,Santa Maria da Vitória,-13.3863120764341,-44.2014172685905
302249,Santa Maria das Barreiras,Santa Maria das Barreiras,-8.85899458293026,-49.7208397673314
304903,Santa Maria de Itabira,Santa Maria de Itabira,-19.4489924777434,-43.1129606307383
302517,Santa Maria de Jetibá,Santa Maria de Jetibá,-20.0257761146093,-40.7442793236843
314504,Santa María del Nieva,Santa María del Nieva,-4.59531610051747,-77.8750563257675
301319,Santa Maria do Cambucá,Santa Maria do Cambucá,-7.83299002311189,-35.881345077381
305470,Santa Maria do Herval,Santa Maria do Herval,-29.4911628646664,-50.9886228671901
304831,Santa Maria do Oeste,Santa Maria do Oeste,-24.9381694783422,-51.8700018104868
301907,Santa Maria do Pará,Santa Maria do Pará,-1.34860648974229,-47.5738878035849
