id,username,city,state,region,geo
3032,@brehsalvador,Campinas,SP,Região Sudeste,"-22.905822218783694,-47.066350129618904"
3033,@Mineiri30854074,Vila Velha,ES,Região Sudeste,"-20.3421870888842,-40.287803385123"
3034,@nathabegg,Ariquemes,RO,Região Norte,"-9.90611592559483,-63.032975088345395"
3035,@stephthesmiths,São Bernardo do Campo,SP,Região Sudeste,"-23.691891859172202,-46.565016078214995"
3036,@guicprates,Contagem,MG,Região Sudeste,"-19.9325518657098,-44.054292070656004"
3037,@Sara_Mavignier,Teresina,PI,Região Nordeste,"-5.0927489262625185,-42.804049355595204"
3038,@deebinha_santos,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3039,@nozinhoviana,Montes Claros,MG,Região Sudeste,"-16.7286375488089,-43.85817259141361"
3040,@culpadaroberta,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
3041,@maithemarjoriee,Fortaleza,CE,Região Nordeste,"-9.80560422720153,-65.526657119746"
3042,@carolmachado,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
3043,@livmrts,Macapá,AP,Região Norte,"0.034192803998319,-51.07018035360021"
3044,@eurenatapaulaa,Balsas,MA,Região Nordeste,"-7.532553888114308,-46.037528458672284"
3045,@bittersweet_jen,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
3046,@ViniciusMont49,Sombrio,SC,Região Sul,"-29.1084690100473,-49.63321551483979"
